,addr1,시도,addr2,시군구
0,1,서울,1,강남구
1,1,서울,2,강동구
2,1,서울,3,강북구
3,1,서울,4,강서구
4,1,서울,5,관악구
5,1,서울,6,광진구
6,1,서울,7,구로구
7,1,서울,8,금천구
8,1,서울,9,노원구
9,1,서울,10,도봉구
10,1,서울,11,동대문구
11,1,서울,12,동작구
12,1,서울,13,마포구
13,1,서울,14,서대문구
14,1,서울,15,서초구
15,1,서울,16,성동구
16,1,서울,17,성북구
17,1,서울,18,송파구
18,1,서울,19,양천구
19,1,서울,20,영등포구
20,1,서울,21,용산구
21,1,서울,22,은평구
22,1,서울,23,종로구
23,1,서울,24,중구
24,1,서울,25,중랑구
25,2,인천,1,강화군
26,2,인천,2,계양구
27,2,인천,3,미추홀구
28,2,인천,4,남동구
29,2,인천,5,동구
30,2,인천,6,부평구
31,2,인천,7,서구
32,2,인천,8,연수구
33,2,인천,9,옹진군
34,2,인천,10,중구
35,3,대전,1,대덕구
36,3,대전,2,동구
37,3,대전,3,서구
38,3,대전,4,유성구
39,3,대전,5,중구
40,4,대구,1,남구
41,4,대구,2,달서구
42,4,대구,3,달성군
43,4,대구,4,동구
44,4,대구,5,북구
45,4,대구,6,서구
46,4,대구,7,수성구
47,4,대구,8,중구
48,5,광주,1,광산구
49,5,광주,2,남구
50,5,광주,3,동구
51,5,광주,4,북구
52,5,광주,5,서구
53,6,부산,1,강서구
54,6,부산,2,금정구
55,6,부산,3,기장군
56,6,부산,4,남구
57,6,부산,5,동구
58,6,부산,6,동래구
59,6,부산,7,부산진구
60,6,부산,8,북구
61,6,부산,9,사상구
62,6,부산,10,사하구
63,6,부산,11,서구
64,6,부산,12,수영구
65,6,부산,13,연제구
66,6,부산,14,영도구
67,6,부산,15,중구
68,6,부산,16,해운대구
69,7,울산,1,중구
70,7,울산,2,남구
71,7,울산,3,동구
72,7,울산,4,북구
73,7,울산,5,울주군
74,8,세종특별자치시,1,세종특별자치시
75,31,경기도,1,가평군
76,31,경기도,2,고양시
77,31,경기도,3,과천시
78,31,경기도,4,광명시
79,31,경기도,5,광주시
80,31,경기도,6,구리시
81,31,경기도,7,군포시
82,31,경기도,8,김포시
83,31,경기도,9,남양주시
84,31,경기도,10,동두천시
85,31,경기도,11,부천시
86,31,경기도,12,성남시
87,31,경기도,13,수원시
88,31,경기도,14,시흥시
89,31,경기도,15,안산시
90,31,경기도,16,안성시
91,31,경기도,17,안양시
92,31,경기도,18,양주시
93,31,경기도,19,양평군
94,31,경기도,20,여주시
95,31,경기도,21,연천군
96,31,경기도,22,오산시
97,31,경기도,23,용인시
98,31,경기도,24,의왕시
99,31,경기도,25,의정부시
100,31,경기도,26,이천시
101,31,경기도,27,파주시
102,31,경기도,28,평택시
103,31,경기도,29,포천시
104,31,경기도,30,하남시
105,31,경기도,31,화성시
106,32,강원도,1,강릉시
107,32,강원도,2,고성군
108,32,강원도,3,동해시
109,32,강원도,4,삼척시
110,32,강원도,5,속초시
111,32,강원도,6,양구군
112,32,강원도,7,양양군
113,32,강원도,8,영월군
114,32,강원도,9,원주시
115,32,강원도,10,인제군
116,32,강원도,11,정선군
117,32,강원도,12,철원군
118,32,강원도,13,춘천시
119,32,강원도,14,태백시
120,32,강원도,15,평창군
121,32,강원도,16,홍천군
122,32,강원도,17,화천군
123,32,강원도,18,횡성군
124,33,충청북도,1,괴산군
125,33,충청북도,2,단양군
126,33,충청북도,3,보은군
127,33,충청북도,4,영동군
128,33,충청북도,5,옥천군
129,33,충청북도,6,음성군
130,33,충청북도,7,제천시
131,33,충청북도,8,진천군
132,33,충청북도,9,청원군
133,33,충청북도,10,청주시
134,33,충청북도,11,충주시
135,33,충청북도,12,증평군
136,34,충청남도,1,공주시
137,34,충청남도,2,금산군
138,34,충청남도,3,논산시
139,34,충청남도,4,당진시
140,34,충청남도,5,보령시
141,34,충청남도,6,부여군
142,34,충청남도,7,서산시
143,34,충청남도,8,서천군
144,34,충청남도,9,아산시
145,34,충청남도,11,예산군
146,34,충청남도,12,천안시
147,34,충청남도,13,청양군
148,34,충청남도,14,태안군
149,34,충청남도,15,홍성군
150,34,충청남도,16,계룡시
151,35,경상북도,1,경산시
152,35,경상북도,2,경주시
153,35,경상북도,3,고령군
154,35,경상북도,4,구미시
155,35,경상북도,5,군위군
156,35,경상북도,6,김천시
157,35,경상북도,7,문경시
158,35,경상북도,8,봉화군
159,35,경상북도,9,상주시
160,35,경상북도,10,성주군
161,35,경상북도,11,안동시
162,35,경상북도,12,영덕군
163,35,경상북도,13,영양군
164,35,경상북도,14,영주시
165,35,경상북도,15,영천시
166,35,경상북도,16,예천군
167,35,경상북도,17,울릉군
168,35,경상북도,18,울진군
169,35,경상북도,19,의성군
170,35,경상북도,20,청도군
171,35,경상북도,21,청송군
172,35,경상북도,22,칠곡군
173,35,경상북도,23,포항시
174,36,경상남도,1,거제시
175,36,경상남도,2,거창군
176,36,경상남도,3,고성군
177,36,경상남도,4,김해시
178,36,경상남도,5,남해군
179,36,경상남도,6,마산시
180,36,경상남도,7,밀양시
181,36,경상남도,8,사천시
182,36,경상남도,9,산청군
183,36,경상남도,10,양산시
184,36,경상남도,12,의령군
185,36,경상남도,13,진주시
186,36,경상남도,14,진해시
187,36,경상남도,15,창녕군
188,36,경상남도,16,창원시
189,36,경상남도,17,통영시
190,36,경상남도,18,하동군
191,36,경상남도,19,함안군
192,36,경상남도,20,함양군
193,36,경상남도,21,합천군
194,37,전라북도,1,고창군
195,37,전라북도,2,군산시
196,37,전라북도,3,김제시
197,37,전라북도,4,남원시
198,37,전라북도,5,무주군
199,37,전라북도,6,부안군
200,37,전라북도,7,순창군
201,37,전라북도,8,완주군
202,37,전라북도,9,익산시
203,37,전라북도,10,임실군
204,37,전라북도,11,장수군
205,37,전라북도,12,전주시
206,37,전라북도,13,정읍시
207,37,전라북도,14,진안군
208,38,전라남도,1,강진군
209,38,전라남도,2,고흥군
210,38,전라남도,3,곡성군
211,38,전라남도,4,광양시
212,38,전라남도,5,구례군
213,38,전라남도,6,나주시
214,38,전라남도,7,담양군
215,38,전라남도,8,목포시
216,38,전라남도,9,무안군
217,38,전라남도,10,보성군
218,38,전라남도,11,순천시
219,38,전라남도,12,신안군
220,38,전라남도,13,여수시
221,38,전라남도,16,영광군
222,38,전라남도,17,영암군
223,38,전라남도,18,완도군
224,38,전라남도,19,장성군
225,38,전라남도,20,장흥군
226,38,전라남도,21,진도군
227,38,전라남도,22,함평군
228,38,전라남도,23,해남군
229,38,전라남도,24,화순군
230,39,제주도,1,남제주군
231,39,제주도,2,북제주군
232,39,제주도,3,서귀포시
233,39,제주도,4,제주시
